"","1","2","3","4","5","MeanDecreaseAccuracy","MeanDecreaseGini"
"length",27.8301815004134,25.3845262529549,27.2287917301659,20.2499104436547,30.5393051374128,46.4408788155789,745.647468472165
"trend",27.9118481107948,20.8178112029939,20.706920767521,12.222230978319,21.3869660295379,43.3917700231662,1030.99785483425
"seasonality",41.3627564409787,32.4211151592696,38.4323765467361,28.7090393507642,32.5169093683223,55.0249215448829,1174.40353252376
"linearity",29.5863082922744,25.857404839273,20.6820902154209,17.4061698304213,29.9521112415508,40.7965528027231,1070.52182569244
"curvature",29.0189627096227,25.3740659319351,20.906534410641,16.4259035215674,28.1584874353703,44.4045447854602,1034.07703598855
"spikiness",27.5218894555054,15.1842384208292,24.4826366210945,16.7902082064372,22.7644812707184,42.1865633563689,1052.87574432376
"e_acf1",22.1295881917318,26.4991081150608,19.3526119720857,12.3597155741941,17.1469552705476,45.701992106085,1008.67804265381
"stability",27.9685091263086,22.7318708317277,14.9090557788601,21.9962245118808,37.4076176885646,59.4939151905089,1051.97834113409
"lumpiness",26.8628771332584,14.5521335373918,9.98675862393007,18.36966381283,25.5213106906967,37.944388890889,1031.68539234813
"entropy",24.5938249142163,14.1588855544015,15.3470675242607,11.8631611436095,22.7760155488848,39.5420349576789,995.582095571683
"hurst",23.7453917045052,16.5510114295246,13.3429434092047,12.619802456996,23.632913401728,39.7439117021793,925.626817990844
"nonlinearity",26.1707325772841,21.9598374169618,18.7848837377673,19.6201225449768,19.0763537474256,40.5179639863717,1020.22620233611
"alpha",18.5329471717146,16.5325676045599,13.9806123019236,15.0506834031264,8.05726650357381,35.6632715588522,973.018392684847
"beta",16.1986174340112,15.871812674175,14.6539752723502,16.0898274911996,11.7591170391783,31.739716113682,989.076029328538
"hwalpha",20.5388343242671,19.4101467598465,18.1706792332098,11.3452698337593,10.3233071260753,38.0992260597298,979.243479696581
"hwbeta",16.5481485729764,18.580087865409,12.1060199950793,20.3260372596386,15.5004422193052,32.6131616610046,996.605820226247
"hwgamma",15.0701401146974,9.3211940020413,10.6123929093975,9.02869792585274,15.3305410919953,23.0504256182672,993.080324930984
"y_acf1",23.7605138031934,17.8340443582246,14.9344272605912,12.2909778585096,14.9969696140501,42.6403742706604,979.709624094284
"diff1_acf1",24.1678424115922,21.7760448799957,19.194208473411,17.2974557789747,16.2732796838559,44.9471555470992,996.825524856566
"diff2_acf1",27.1858028589602,21.5053535236875,20.3122752344204,17.8581893962766,15.9761780409443,40.4764497657133,1002.04797463458
"y_acf5",19.1249193130811,19.4626387222226,14.7688628798576,13.4581872191239,13.6497701801915,39.3314137813238,987.13947302948
"diff1y_acf5",25.4794729174387,24.2534166111037,24.5557442845826,15.5024856851186,17.9413739251919,41.0728343450281,1001.97187182589
"diff2_acf5",26.358633177943,23.3115206024235,16.8396770976427,13.0821299940639,19.7607725404897,42.3613675652763,989.550962445465
"seas_acf1",20.9401431043331,19.7476661807911,24.7312666634365,15.917327325122,24.194884350365,39.9201522868198,1043.72782922126
"sediff_acf1",25.413038886579,21.7424528694017,15.704870396811,11.6747134225964,18.3855453807575,46.1698905389002,1000.56445723613
"sediff_seacf1",33.1946967214173,21.0845211255556,19.8146538388293,17.3885077883489,22.1377776204107,40.8064151144805,1030.34909738842
"sediff_acf5",24.5980740434373,20.3756251443332,18.0882509014194,14.2824020265304,22.6241689304386,46.5417696385693,1015.34540452524
"y_pacf5",22.3480878936554,18.1693379946912,17.1845089546615,11.5479133661803,20.5124253555172,37.7179375094926,998.060419210175
"diff1y_pacf5",27.0393978932101,18.8066442492087,27.5772939093597,18.2076731453437,20.0475473970795,44.0689860436753,1012.97208074975
"diff2y_pacf5",28.7161152577811,18.171213382637,22.253194881092,16.8474111371533,19.659236407019,41.9176805972799,992.311324956317
