"","X","ntrees500","ntrees1000","ntrees1050","ntrees2000","ntrees2050","max"
"1",1,0.368585732165207,0.367125573633709,0.3729662077597,0.374843554443054,0.372757613683771,"NULL"
"2",2,0.338339591155611,0.346683354192741,0.341885690446391,0.33729662077597,0.344806007509387,"NULL"
"3",3,0.358990404672507,0.366499791405924,0.367542761785565,0.366708385481852,0.36462244472257,"NULL"
"4",4,0.357738840216938,0.35273258239466,0.355027117229871,0.358781810596579,0.353149770546516,"NULL"
"5",5,0.338965373383396,0.337505214851898,0.330830204422194,0.339382561535252,0.327075511055486,"NULL"
"6",6,0.312473925740509,0.316020025031289,0.317480183562787,0.31476846057572,0.313725490196078,"NULL"
"7",7,0.351898206090947,0.351481017939091,0.347100542344597,0.358156028368794,0.35627868168544,"NULL"
"8",8,0.363788068418857,0.363162286191072,0.364205256570713,0.362953692115144,0.363162286191072,"NULL"
"9",9,0.324780976220275,0.328327075511055,0.330621610346266,0.326449728827701,0.323946599916562,"NULL"
"10",10,0.300584063412599,0.30162703379224,0.29933249895703,0.296620775969962,0.30642469753859,"NULL"
